,Name,Classification,Taxon ID,Assembly,Accession,Species_str,assembly,Core_db
302,Candida albicans P76067,Saccharomycetales,1094999,Cand_albi_P76067_V1,GCA_000784495.1,candida_albicans_p76067_gca_000784495,Cand_albi_P76067_V1,fungi_ascomycota2_collection_core_59_112_1
303,Candida albicans P78042,Saccharomycetales,1095000,Cand_albi_P78042_V1,GCA_000784615.1,candida_albicans_p78042_gca_000784615,Cand_albi_P78042_V1,fungi_ascomycota2_collection_core_59_112_1
304,Candida albicans P78048,Saccharomycetales,1094989,Cand_albi_P78048_V1,GCA_000773725.1,candida_albicans_p78048_gca_000773725,Cand_albi_P78048_V1,fungi_ascomycota1_collection_core_59_112_1
305,Candida albicans P87,Saccharomycetales,1094984,Cand_albi_P87_V2,GCA_000774085.1,candida_albicans_p87_gca_000774085,Cand_albi_P87_V2,fungi_ascomycota2_collection_core_59_112_1
306,Candida albicans P94015,Saccharomycetales,1094983,Cand_albi_P94015_V1,GCA_000773755.1,candida_albicans_p94015_gca_000773755,Cand_albi_P94015_V1,fungi_ascomycota2_collection_core_59_112_1
307,Candida albicans SC5314,Saccharomycetales,237561,Cand_albi_SC5314_V3,GCA_000784655.1,candida_albicans_sc5314_gca_000784655,Cand_albi_SC5314_V3,fungi_ascomycota2_collection_core_59_112_1
308,Candida albicans SC5314,Saccharomycetales,237561,Cand_albi_SC5314_V4,GCA_000784635.1,candida_albicans_sc5314_gca_000784635,Cand_albi_SC5314_V4,fungi_ascomycota2_collection_core_59_112_1
309,Candida albicans WO-1,Saccharomycetales,294748,ASM14944v2,GCA_000149445.2,candida_albicans_wo_1_gca_000149445,ASM14944v2,fungi_ascomycota1_collection_core_59_112_1
310,Candida auris,Saccharomycetales,498019,GCA002759435v2,GCA_002759435.2,candida_auris,GCA002759435v2,candida_auris_core_59_112_2
311,Candida dubliniensis CD36,Saccharomycetales,573826,ASM2694v1,GCA_000026945.1,candida_dubliniensis_cd36_gca_000026945,ASM2694v1,fungi_ascomycota1_collection_core_59_112_1
312,Candida duobushaemulonis,Saccharomycetales,1231522,GCA002926085v1,GCA_002926085.1,candida_duobushaemulonis,GCA002926085v1,candida_duobushaemulonis_core_59_112_1
313,Candida glabrata,Saccharomycetales,284593,GCA000002545v2,GCA_000002545.2,candida_glabrata,GCA000002545v2,candida_glabrata_core_59_112_2
314,Candida maltosa Xu316,Saccharomycetales,1245528,Cmaltosa_v01,GCA_000344705.1,candida_maltosa_xu316_gca_000344705,Cmaltosa_v01,fungi_ascomycota1_collection_core_59_112_1
315,Candida orthopsilosis Co 90-125,Saccharomycetales,1136231,ASM31587v1,GCA_000315875.1,candida_orthopsilosis_co_90_125_gca_000315875,ASM31587v1,fungi_ascomycota1_collection_core_59_112_1
316,Candida parapsilosis,Saccharomycetales,578454,GCA000182765v2,GCA_000182765.2,candida_parapsilosis,GCA000182765v2,candida_parapsilosis_core_59_112_2
317,Candida tropicalis,Saccharomycetales,294747,GCA000006335v3,GCA_000006335.3,candida_tropicalis,GCA000006335v3,candida_tropicalis_core_59_112_3
318,Candida viswanathii str. ATCC 20962,Saccharomycetales,5486,ASM332773v1,GCA_003327735.1,candida_viswanathii_gca_003327735,ASM332773v1,fungi_ascomycota5_collection_core_59_112_1
319,Capronia coronata CBS 617.96,Chaetothyriomycetidae,1182541,Capr_coro_CBS_617_96_V1,GCA_000585585.1,capronia_coronata_cbs_617_96_gca_000585585,Capr_coro_CBS_617_96_V1,fungi_ascomycota1_collection_core_59_112_1
320,Capronia epimyces CBS 606.96,Chaetothyriomycetidae,1182542,Capr_epim_CBS_606_96_V1,GCA_000585565.1,capronia_epimyces_cbs_606_96_gca_000585565,Capr_epim_CBS_606_96_V1,fungi_ascomycota1_collection_core_59_112_1
321,Caulochytrium protostelioides str. ATCC 52028,Chytridiomycota,1555241,Caupr1,GCA_003615045.1,caulochytrium_protostelioides_gca_003615045,Caupr1,fungi_chytridiomycota1_collection_core_59_112_1
322,Caulochytrium protostelioides str. ATCC 52028,Chytridiomycota,1555241,Caupr_SCcomb,GCA_003615035.1,caulochytrium_protostelioides_gca_003615035,Caupr_SCcomb,fungi_chytridiomycota1_collection_core_59_112_1
323,Cenococcum geophilum 1.58,Dothideomycetes,794803,Cenococcum_geophilum_1.58_v2.0,GCA_001692895.1,cenococcum_geophilum_1_58_gca_001692895,Cenococcum geophilum 1.58 v2.0,fungi_ascomycota4_collection_core_59_112_1
324,Ceraceosorus bombacis,Fungi,401625,Ceraceosorus_bombacis,GCA_900000165.1,ceraceosorus_bombacis_gca_900000165,Ceraceosorus bombacis,fungi_basidiomycota1_collection_core_59_112_1
325,Ceraceosorus guamensis str. MCA 4658,Fungi,1522189,Cersp1,GCA_003144195.1,ceraceosorus_guamensis_gca_003144195,Cersp1,fungi_basidiomycota1_collection_core_59_112_1
326,Ceratobasidium theobromae str. CT2,Cantharellales,1582974,ASM907832v1,GCA_009078325.1,ceratobasidium_theobromae_gca_009078325,ASM907832v1,fungi_basidiomycota2_collection_core_59_112_1
327,Ceratocystis platani str. CFO,Microascales,88771,ASM97888v1,GCA_000978885.1,ceratocystis_platani_gca_000978885,ASM97888v1,fungi_ascomycota2_collection_core_59_112_1
328,Cercospora berteroae,Capnodiales,357750,Cbert_1,GCA_002933655.1,cercospora_berteroae_gca_002933655,Cbert_1,fungi_ascomycota4_collection_core_59_112_1
329,Cercospora beticola,Capnodiales,122368,CB0940_V2,GCA_002742065.1,cercospora_beticola_gca_002742065,CB0940_V2,fungi_ascomycota3_collection_core_59_112_1
330,Cercospora zeae-maydis SCOH1-5,Capnodiales,717836,Cerzm1,GCA_010093985.1,cercospora_zeae_maydis_scoh1_5_gca_010093985,Cerzm1,fungi_ascomycota5_collection_core_59_112_1
331,Cercospora zeina str. CMW25467,Capnodiales,348901,ASM284461v1,GCA_002844615.1,cercospora_zeina_gca_002844615,ASM284461v1,fungi_ascomycota3_collection_core_59_112_1
332,Chaetomium globosum CBS 148.51,Sordariales,306901,ASM14336v1,GCA_000143365.1,chaetomium_globosum_cbs_148_51_gca_000143365,ASM14336v1,fungi_ascomycota1_collection_core_59_112_1
333,Chaetomium thermophilum var. thermophilum DSM 1495,Sordariales,759272,CTHT_3.0,GCA_000221225.1,chaetomium_thermophilum_var_thermophilum_dsm_1495_gca_000221225,CTHT_3.0,fungi_ascomycota1_collection_core_59_112_1
334,Chaetothyriales sp. CBS 132003,Chaetothyriomycetidae,2249419,ASM370986v1,GCA_003709865.1,chaetothyriales_sp_cbs_132003_gca_003709865,ASM370986v1,fungi_ascomycota5_collection_core_59_112_1
335,Chaetothyriales sp. CBS 134916,Chaetothyriomycetidae,2249418,ASM370984v1,GCA_003709845.1,chaetothyriales_sp_cbs_134916_gca_003709845,ASM370984v1,fungi_ascomycota5_collection_core_59_112_1
336,Chaetothyriales sp. CBS 134920,Chaetothyriomycetidae,2249417,ASM369366v1,GCA_003693665.1,chaetothyriales_sp_cbs_134920_gca_003693665,ASM369366v1,fungi_ascomycota4_collection_core_59_112_1
337,Chaetothyriales sp. CBS 135597,Chaetothyriomycetidae,2249420,ASM370982v1,GCA_003709825.1,chaetothyriales_sp_cbs_135597_gca_003709825,ASM370982v1,fungi_ascomycota4_collection_core_59_112_1
338,Choanephora cucurbitarum str. KUS-F28377,Mucoromycotina,101091,ASM168372v1,GCA_001683725.1,choanephora_cucurbitarum_gca_001683725,ASM168372v1,fungi_mucoromycota1_collection_core_59_112_1
339,Choiromyces venosus 120613-1,Pezizales,1336337,Chove1,GCA_003788595.2,choiromyces_venosus_120613_1_gca_003788595,Chove1,fungi_ascomycota5_collection_core_59_112_1
340,Cladophialophora bantiana CBS 173.52,Chaetothyriomycetidae,1442370,Clad_bant_CBS_173_52_V1,GCA_000835475.1,cladophialophora_bantiana_cbs_173_52_gca_000835475,Clad_bant_CBS_173_52_V1,fungi_ascomycota2_collection_core_59_112_1
341,Cladophialophora carrionii CBS 160.54,Chaetothyriomycetidae,1279043,Clad_carr_CBS_160_54_V1,GCA_000365165.2,cladophialophora_carrionii_cbs_160_54_gca_000365165,Clad_carr_CBS_160_54_V1,fungi_ascomycota1_collection_core_59_112_1
342,Cladophialophora carrionii str. KSF,Chaetothyriomycetidae,86049,ASM170077v1,GCA_001700775.1,cladophialophora_carrionii_gca_001700775,ASM170077v1,fungi_ascomycota3_collection_core_59_112_1
343,Cladophialophora immunda str. CBS 83496,Chaetothyriomycetidae,569365,Clad_immu_CBS83496_V1,GCA_000835495.1,cladophialophora_immunda_gca_000835495,Clad_immu_CBS83496_V1,fungi_ascomycota2_collection_core_59_112_1
344,Cladophialophora psammophila CBS 110553,Chaetothyriomycetidae,1182543,Clad_psam_CBS_110553_V1,GCA_000585535.1,cladophialophora_psammophila_cbs_110553_gca_000585535,Clad_psam_CBS_110553_V1,fungi_ascomycota1_collection_core_59_112_1
345,Cladophialophora yegresii CBS 114405,Chaetothyriomycetidae,1182544,Clad_yegr_CBS_114405_V1,GCA_000585515.1,cladophialophora_yegresii_cbs_114405_gca_000585515,Clad_yegr_CBS_114405_V1,fungi_ascomycota1_collection_core_59_112_1
346,Clathrospora elynae str. CBS 161.51,Pleosporales,706981,Clael1,GCA_010015635.1,clathrospora_elynae_gca_010015635,Clael1,fungi_ascomycota5_collection_core_59_112_1
347,Claviceps purpurea 20.1,Hypocreales,1111077,ASM34735v1,GCA_000347355.1,claviceps_purpurea_20_1_gca_000347355,ASM34735v1,fungi_ascomycota1_collection_core_59_112_1
348,Clavispora lusitaniae,Saccharomycetales,36911,ASM949805v1,GCA_009498055.1,clavispora_lusitaniae_gca_009498055,ASM949805v1,fungi_ascomycota4_collection_core_59_112_1
349,Clavispora lusitaniae,Saccharomycetales,36911,ASM949807v1,GCA_009498075.1,clavispora_lusitaniae_gca_009498075,ASM949807v1,fungi_ascomycota4_collection_core_59_112_1
350,Clavispora lusitaniae,Saccharomycetales,36911,ASM949809v1,GCA_009498095.1,clavispora_lusitaniae_gca_009498095,ASM949809v1,fungi_ascomycota4_collection_core_59_112_1
351,Clavispora lusitaniae,Saccharomycetales,36911,ASM949811v1,GCA_009498115.1,clavispora_lusitaniae_gca_009498115,ASM949811v1,fungi_ascomycota5_collection_core_59_112_1
352,Clavispora lusitaniae,Saccharomycetales,36911,ASM949813v1,GCA_009498135.1,clavispora_lusitaniae_gca_009498135,ASM949813v1,fungi_ascomycota4_collection_core_59_112_1
353,Clavispora lusitaniae ATCC 42720,Saccharomycetales,306902,ASM383v1,GCA_000003835.1,clavispora_lusitaniae_atcc_42720_gca_000003835,ASM383v1,fungi_ascomycota1_collection_core_59_112_1
354,Clavispora lusitaniae str. CBS 6936,Saccharomycetales,36911,ASM167369v2,GCA_001673695.2,clavispora_lusitaniae_gca_001673695,ASM167369v2,fungi_ascomycota3_collection_core_59_112_1
355,Clohesyomyces aquaticus str. CBS 115471,Pleosporales,1231657,Cloaq1,GCA_002105025.1,clohesyomyces_aquaticus_gca_002105025,Cloaq1,fungi_ascomycota4_collection_core_59_112_1
356,Coccidioides immitis,Onygenales,5501,Cimm211_ragoo,GCA_004115165.2,coccidioides_immitis_gca_004115165,Cimm211_ragoo,fungi_ascomycota5_collection_core_59_112_1
357,Coccidioides immitis H538.4,Onygenales,396776,ASM14981v1,GCA_000149815.1,coccidioides_immitis_h538_4_gca_000149815,ASM14981v1,fungi_ascomycota3_collection_core_59_112_1
358,Coccidioides immitis RMSCC 2394,Onygenales,404692,ASM14989v1,GCA_000149895.1,coccidioides_immitis_rmscc_2394_gca_000149895,ASM14989v1,fungi_ascomycota2_collection_core_59_112_1
359,Coccidioides immitis RMSCC 3703,Onygenales,454286,ASM15008v1,GCA_000150085.1,coccidioides_immitis_rmscc_3703_gca_000150085,ASM15008v1,fungi_ascomycota2_collection_core_59_112_1
360,Coccidioides immitis RS,Onygenales,246410,ASM14933v2,GCA_000149335.2,coccidioides_immitis_rs_gca_000149335,ASM14933v2,fungi_ascomycota1_collection_core_59_112_1
361,Coccidioides posadasii C735 delta SOWgp,Onygenales,222929,JCVI-cpa1-1.0,GCA_000151335.1,coccidioides_posadasii_c735_delta_sowgp_gca_000151335,JCVI-cpa1-1.0,fungi_ascomycota1_collection_core_59_112_1
362,Coccidioides posadasii RMSCC 3488,Onygenales,454284,ASM15005v1,GCA_000150055.1,coccidioides_posadasii_rmscc_3488_gca_000150055,ASM15005v1,fungi_ascomycota2_collection_core_59_112_1
363,Coccidioides posadasii str. Silveira,Onygenales,443226,CPS2,GCA_000170175.2,coccidioides_posadasii_str_silveira_gca_000170175,CPS2,fungi_ascomycota1_collection_core_59_112_1
364,Coleophoma crateriformis str. BP5796,Helotiales,565419,ASM336963v1,GCA_003369635.1,coleophoma_crateriformis_gca_003369635,ASM336963v1,fungi_ascomycota4_collection_core_59_112_1
365,Coleophoma cylindrospora str. BP6252,Helotiales,1849047,ASM336966v1,GCA_003369665.1,coleophoma_cylindrospora_gca_003369665,ASM336966v1,fungi_ascomycota5_collection_core_59_112_1
366,Colletotrichum asianum,Glomerellales,702518,ASM980641v1,GCA_009806415.1,colletotrichum_asianum_gca_009806415,ASM980641v1,fungi_ascomycota5_collection_core_59_112_1
367,Colletotrichum chlorophyti str. NTL11,Glomerellales,708187,ASM193710v1,GCA_001937105.1,colletotrichum_chlorophyti_gca_001937105,ASM193710v1,fungi_ascomycota3_collection_core_59_112_1
368,Colletotrichum fioriniae PJ7,Glomerellales,1445577,CFIO01,GCA_000582985.1,colletotrichum_fioriniae_pj7_gca_000582985,CFIO01,fungi_ascomycota1_collection_core_59_112_1
369,Colletotrichum fructicola str. CGMCC 3.17371,Glomerellales,690256,ASM977102v1,GCA_009771025.1,colletotrichum_fructicola_gca_009771025,ASM977102v1,fungi_ascomycota4_collection_core_59_112_1
370,Colletotrichum gloeosporioides,Glomerellales,1213859,GCA_000319635.1,GCA_000319635.1,colletotrichum_gloeosporioides,Colletotrichum gloeosporioides Nara gc-5,colletotrichum_gloeosporioides_core_59_112_1
371,Colletotrichum gloeosporioides Cg-14,Glomerellales,1237896,Colletotrichum_gloeosporioides1,GCA_000446055.1,colletotrichum_gloeosporioides_cg_14_gca_000446055,Colletotrichum gloeosporioides1,fungi_ascomycota1_collection_core_59_112_1
372,Colletotrichum graminicola,Glomerellales,645133,C_graminicola_M1_001_V1,GCA_000149035.1,colletotrichum_graminicola,C_graminicola_M1_001_V1,colletotrichum_graminicola_core_59_112_1
373,Colletotrichum higginsianum,Glomerellales,80884,GCA_000313795.2,GCA_000313795.2,colletotrichum_higginsianum,ASM31379v2,colletotrichum_higginsianum_core_59_112_2
374,Colletotrichum higginsianum IMI 349063,Glomerellales,759273,ASM167251v1,GCA_001672515.1,colletotrichum_higginsianum_imi_349063_gca_001672515,ASM167251v1,fungi_ascomycota3_collection_core_59_112_1
375,Colletotrichum higginsianum str. MAFF305635-RFP,Glomerellales,80884,ASM492035v1,GCA_004920355.1,colletotrichum_higginsianum_gca_004920355,ASM492035v1,fungi_ascomycota4_collection_core_59_112_1
376,Colletotrichum incanum str. MAFF 238704,Glomerellales,1573173,Ci238704v1,GCA_001625285.1,colletotrichum_incanum_gca_001625285,Ci238704v1,fungi_ascomycota3_collection_core_59_112_1
377,Colletotrichum incanum str. MAFF238712,Glomerellales,1573173,ASM185523v1,GCA_001855235.1,colletotrichum_incanum_gca_001855235,ASM185523v1,fungi_ascomycota3_collection_core_59_112_1
378,Colletotrichum nymphaeae SA-01,Glomerellales,1460502,CNYM01,GCA_001563115.1,colletotrichum_nymphaeae_sa_01_gca_001563115,CNYM01,fungi_ascomycota3_collection_core_59_112_1
379,Colletotrichum orbiculare,Glomerellales,1213857,GCA_000350065.1,GCA_000350065.1,colletotrichum_orbiculare,Corbiculare240422v01,colletotrichum_orbiculare_core_59_112_1
380,Colletotrichum orchidophilum str. IMI 309357,Glomerellales,1209926,CORC01,GCA_001831195.1,colletotrichum_orchidophilum_gca_001831195,CORC01,fungi_ascomycota3_collection_core_59_112_1
381,Colletotrichum salicis str. CBS 607.94,Glomerellales,1209931,CSAL01,GCA_001563125.1,colletotrichum_salicis_gca_001563125,CSAL01,fungi_ascomycota3_collection_core_59_112_1
382,Colletotrichum shisoi str. PG-2018a,Glomerellales,2078593,ASM678308v1,GCA_006783085.1,colletotrichum_shisoi_gca_006783085,ASM678308v1,fungi_ascomycota5_collection_core_59_112_1
383,Colletotrichum sidae,Glomerellales,1347389,ASM436793v1,GCA_004367935.1,colletotrichum_sidae_gca_004367935,ASM436793v1,fungi_ascomycota5_collection_core_59_112_1
384,Colletotrichum simmondsii str. CBS122122,Glomerellales,703756,CSIM01,GCA_001563135.1,colletotrichum_simmondsii_gca_001563135,CSIM01,fungi_ascomycota3_collection_core_59_112_1
385,Colletotrichum spinosum,Glomerellales,1347390,ASM436682v1,GCA_004366825.1,colletotrichum_spinosum_gca_004366825,ASM436682v1,fungi_ascomycota5_collection_core_59_112_1
386,Colletotrichum sublineola str. TX430BB,Glomerellales,1173701,ASM69613v1,GCA_000696135.1,colletotrichum_sublineola_gca_000696135,ASM69613v1,fungi_ascomycota1_collection_core_59_112_1
387,Colletotrichum tanaceti,Glomerellales,1306861,ASM535089v1,GCA_005350895.1,colletotrichum_tanaceti_gca_005350895,ASM535089v1,fungi_ascomycota5_collection_core_59_112_1
388,Colletotrichum tofieldiae str. 0861,Glomerellales,708197,Ct0861v1,GCA_001625265.1,colletotrichum_tofieldiae_gca_001625265,Ct0861v1,fungi_ascomycota3_collection_core_59_112_1
389,Colletotrichum trifolii str. 543-2,Glomerellales,5466,KSG_Cotri_v1,GCA_004367215.1,colletotrichum_trifolii_gca_004367215,KSG_Cotri_v1,fungi_ascomycota4_collection_core_59_112_1
390,Conidiobolus coronatus NRRL 28638,Fungi,796925,Conidiobolus_coronatus_NRRL28638,GCA_001566745.1,conidiobolus_coronatus_nrrl_28638_gca_001566745,Conidiobolus coronatus NRRL28638,fungi_entomophthoromycota1_collection_core_59_112_1
391,Coniella lustricola str. B22-T-1,Sordariomycetidae,2025994,Coniella_lustricola_v1.0,GCA_003019895.1,coniella_lustricola_gca_003019895,Coniella lustricola v1.0,fungi_ascomycota4_collection_core_59_112_1
392,Coniochaeta ligniaria NRRL 30616,Sordariomycetidae,1408157,Conlig_v1.0,GCA_001879275.1,coniochaeta_ligniaria_nrrl_30616_gca_001879275,Conlig v1.0,fungi_ascomycota3_collection_core_59_112_1
393,Coniochaeta pulveracea str. CAB683,Sordariomycetidae,177199,ASM363534v1,GCA_003635345.1,coniochaeta_pulveracea_gca_003635345,ASM363534v1,fungi_ascomycota4_collection_core_59_112_1
394,Coniochaeta sp. 2T2.1,Sordariomycetidae,1571157,Conioc1,GCA_009194965.1,coniochaeta_sp_2t2_1_gca_009194965,Conioc1,fungi_ascomycota4_collection_core_59_112_1
395,Coniophora puteana RWD-64-598 SS2,Boletales,741705,Conpu1,GCA_000271625.1,coniophora_puteana_rwd_64_598_ss2_gca_000271625,Conpu1,fungi_basidiomycota1_collection_core_59_112_1
396,Coniosporium apollinis CBS 100218 str. CBS 352.97,Dothideomycetes,1168221,Coni_apol_CBS100218__V1,GCA_000281105.1,coniosporium_apollinis_cbs_100218_gca_000281105,Coni_apol_CBS100218 _V1,fungi_ascomycota1_collection_core_59_112_1
397,Coprinellus micaceus str. FP101781,Agaricales,71717,Copmic2,GCA_004369175.1,coprinellus_micaceus_gca_004369175,Copmic2,fungi_basidiomycota2_collection_core_59_112_1
398,Coprinopsis cinerea okayama7#130,Agaricales,240176,CC3,GCA_000182895.1,coprinopsis_cinerea_okayama7_130_gca_000182895,CC3,fungi_basidiomycota1_collection_core_59_112_1
399,Coprinopsis marcescibilis str. CBS 121175,Agaricales,230819,Copmar1,GCA_004369085.1,coprinopsis_marcescibilis_gca_004369085,Copmar1,fungi_basidiomycota1_collection_core_59_112_1
400,Cordyceps fumosorosea ARSEF 2679,Hypocreales,1081104,ISF_1.0,GCA_001636725.1,cordyceps_fumosorosea_arsef_2679_gca_001636725,ISF 1.0,fungi_ascomycota3_collection_core_59_112_1
401,Cordyceps javanica,Hypocreales,43265,ASM698198v1,GCA_006981985.1,cordyceps_javanica_gca_006981985,ASM698198v1,fungi_ascomycota4_collection_core_59_112_1
402,Cordyceps javanica,Hypocreales,43265,ASM698197v1,GCA_006981975.1,cordyceps_javanica_gca_006981975,ASM698197v1,fungi_ascomycota5_collection_core_59_112_1
403,Cordyceps militaris CM01,Hypocreales,983644,CmilitarisCM01_v01,GCA_000225605.1,cordyceps_militaris_cm01_gca_000225605,CmilitarisCM01_v01,fungi_ascomycota1_collection_core_59_112_1
404,Cordyceps militaris str. ATCC 34164,Hypocreales,73501,ASM808049v1,GCA_008080495.1,cordyceps_militaris_gca_008080495,ASM808049v1,fungi_ascomycota5_collection_core_59_112_1
405,Cordyceps sp. RAO-2017,Hypocreales,2004951,Hirsu2,GCA_002591385.1,cordyceps_sp_rao_2017_gca_002591385,Hirsu2,fungi_ascomycota4_collection_core_59_112_1
406,Corynespora cassiicola Philippines,Pleosporales,1448308,Corynespora_cassiicola_v1.0,GCA_003016335.1,corynespora_cassiicola_philippines_gca_003016335,Corynespora cassiicola v1.0,fungi_ascomycota4_collection_core_59_112_1
407,Crucibulum laeve str. CBS 166.37,Agaricales,68775,Crula1,GCA_004379715.1,crucibulum_laeve_gca_004379715,Crula1,fungi_basidiomycota2_collection_core_59_112_1
408,Cryomyces minteri,Dothideomycetes,331657,ASM505984v1,GCA_005059845.1,cryomyces_minteri_gca_005059845,ASM505984v1,fungi_ascomycota5_collection_core_59_112_1
409,Cryptococcus amylolentus CBS 6039,Tremellales,1295533,Cryp_amyl_CBS6039_V3,GCA_001720205.1,cryptococcus_amylolentus_cbs_6039_gca_001720205,Cryp_amyl_CBS6039_V3,fungi_basidiomycota1_collection_core_59_112_1
410,Cryptococcus amylolentus CBS 6273,Tremellales,1296118,Cryp_amyl_CBS6273_V2,GCA_001720235.1,cryptococcus_amylolentus_cbs_6273_gca_001720235,Cryp_amyl_CBS6273_V2,fungi_basidiomycota1_collection_core_59_112_1
411,Cryptococcus depauperatus CBS 7841,Tremellales,1295531,Filo_depa_CBS7841_V1,GCA_001720195.1,cryptococcus_depauperatus_cbs_7841_gca_001720195,Filo_depa_CBS7841_V1,fungi_basidiomycota1_collection_core_59_112_1
412,Cryptococcus depauperatus CBS 7855,Tremellales,1295532,Filo_depa_CBS7855_V2,GCA_001720245.1,cryptococcus_depauperatus_cbs_7855_gca_001720245,Filo_depa_CBS7855_V2,fungi_basidiomycota1_collection_core_59_112_1
413,Cryptococcus floricola str. DSM 27421,Tremellales,2591691,Tsuc_wing_DSM_27421_V6,GCA_008355005.1,cryptococcus_floricola_gca_008355005,Tsuc_wing_DSM_27421_V6,fungi_basidiomycota1_collection_core_59_112_1
414,Cryptococcus gattii CA1280,Tremellales,1296109,Cryp_gatt_CA1280_V1,GCA_000836335.1,cryptococcus_gattii_ca1280_gca_000836335,Cryp_gatt_CA1280_V1,fungi_basidiomycota1_collection_core_59_112_1
415,Cryptococcus gattii CA1873,Tremellales,1296111,Cryp_gatt_CA1873_V1,GCA_000855695.1,cryptococcus_gattii_ca1873_gca_000855695,Cryp_gatt_CA1873_V1,fungi_basidiomycota1_collection_core_59_112_1
416,Cryptococcus gattii E566,Tremellales,1296102,Cryp_gatt_E566_V1,GCA_000875815.1,cryptococcus_gattii_e566_gca_000875815,Cryp_gatt_E566_V1,fungi_basidiomycota1_collection_core_59_112_1
417,Cryptococcus gattii EJB2,Tremellales,1296103,Cryp_gatt_EJB2_V1,GCA_000835745.1,cryptococcus_gattii_ejb2_gca_000835745,Cryp_gatt_EJB2_V1,fungi_basidiomycota1_collection_core_59_112_1
418,Cryptococcus gattii NT-10,Tremellales,1296108,Cryp_gatt_NT-10_V1,GCA_000935105.1,cryptococcus_gattii_nt_10_gca_000935105,Cryp_gatt_NT-10_V1,fungi_basidiomycota1_collection_core_59_112_1
419,Cryptococcus gattii Ru294,Tremellales,1296112,Cryp_gatt_Ru294_V1,GCA_000836355.1,cryptococcus_gattii_ru294_gca_000836355,Cryp_gatt_Ru294_V1,fungi_basidiomycota1_collection_core_59_112_1
420,Cryptococcus gattii VGII 2001/935-1,Tremellales,1334442,Cryp_gatt_2001_935-1_V1,GCA_000835815.1,cryptococcus_gattii_vgii_2001_935_1_gca_000835815,Cryp_gatt_2001_935-1_V1,fungi_basidiomycota1_collection_core_59_112_1
421,Cryptococcus gattii VGII 99/473,Tremellales,1296104,Cryp_gatt_99_473_V1,GCA_000836455.1,cryptococcus_gattii_vgii_99_473_gca_000836455,Cryp_gatt_99_473_V1,fungi_basidiomycota1_collection_core_59_112_1
422,Cryptococcus gattii VGII CA1014,Tremellales,1296107,Cryp_gatt_CA1014_V1,GCA_000875795.1,cryptococcus_gattii_vgii_ca1014_gca_000875795,Cryp_gatt_CA1014_V1,fungi_basidiomycota1_collection_core_59_112_1
423,Cryptococcus gattii VGII CBS 10090,Tremellales,1296101,Cryp_gatt_CBS10090_V1,GCA_000835765.1,cryptococcus_gattii_vgii_cbs_10090_gca_000835765,Cryp_gatt_CBS10090_V1,fungi_basidiomycota1_collection_core_59_112_1
424,Cryptococcus gattii VGII LA55,Tremellales,1296106,Cryp_gatt_LA55_V1,GCA_000836315.1,cryptococcus_gattii_vgii_la55_gca_000836315,Cryp_gatt_LA55_V1,fungi_basidiomycota1_collection_core_59_112_1
425,Cryptococcus gattii VGII MMRL2647,Tremellales,1296117,Cryp_gatt_MMRL2647_V2,GCA_000875855.1,cryptococcus_gattii_vgii_mmrl2647_gca_000875855,Cryp_gatt_MMRL2647_V2,fungi_basidiomycota1_collection_core_59_112_1
426,Cryptococcus gattii VGII R265,Tremellales,294750,CNB2,GCA_000149475.3,cryptococcus_gattii_vgii_r265_gca_000149475,CNB2,fungi_basidiomycota1_collection_core_59_112_1
427,Cryptococcus gattii VGII Ram5,Tremellales,1296110,Cryp_gatt_Ram5_V1,GCA_000836375.1,cryptococcus_gattii_vgii_ram5_gca_000836375,Cryp_gatt_Ram5_V1,fungi_basidiomycota1_collection_core_59_112_1
428,Cryptococcus gattii VGIV IND107,Tremellales,1296105,Cryp_gatt_IND107_V2,GCA_000835755.1,cryptococcus_gattii_vgiv_ind107_gca_000835755,Cryp_gatt_IND107_V2,fungi_basidiomycota1_collection_core_59_112_1
429,Cryptococcus gattii WM276,Tremellales,367775,ASM18594v1,GCA_000185945.1,cryptococcus_gattii_wm276_gca_000185945,ASM18594v1,fungi_basidiomycota1_collection_core_59_112_1
430,Cryptococcus neoformans var. grubii 125.91,Tremellales,1230079,Cryp_neof_125_91_V1,GCA_002215885.1,cryptococcus_neoformans_var_grubii_125_91_gca_002215885,Cryp_neof_125_91_V1,fungi_basidiomycota1_collection_core_59_112_1
431,Cryptococcus neoformans var. grubii A1-35-8,Tremellales,1230081,Cryp_neof_grubii_A1-35-8_V1,GCA_002221985.1,cryptococcus_neoformans_var_grubii_a1_35_8_gca_002221985,Cryp_neof_grubii_A1-35-8_V1,fungi_basidiomycota1_collection_core_59_112_1
432,Cryptococcus neoformans var. grubii A2-102-5,Tremellales,1230057,Cryp_neof_A2_102_5_V1,GCA_002222375.1,cryptococcus_neoformans_var_grubii_a2_102_5_gca_002222375,Cryp_neof_A2_102_5_V1,fungi_basidiomycota1_collection_core_59_112_1
433,Cryptococcus neoformans var. grubii A5-35-17,Tremellales,1230080,Cryp_neof_grubii_A5-35-17_V1,GCA_002222215.1,cryptococcus_neoformans_var_grubii_a5_35_17_gca_002222215,Cryp_neof_grubii_A5-35-17_V1,fungi_basidiomycota1_collection_core_59_112_1
